date,id,sales,sell_price,quarter_sin,quarter_cos,month_sin,month_cos,dayofmonth_sin,dayofmonth_cos,dayofyear_sin,dayofyear_cos,wday_sin,wday_cos,year,event_type_1_Cultural,event_type_1_National,event_type_1_Religious,event_type_1_Sporting,event_type_2_Cultural,event_type_2_Religious,event_name_1,event_name_2
2011-01-29,HOUSEHOLD_2_CA_2,234.0,6.0194420600858365,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.47753588643748823,0.8786122450571483,0.7818314824680298,0.6234898018587336,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-30,HOUSEHOLD_2_CA_2,267.0,6.0194420600858365,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,0.4925480679538643,0.8702852410301553,0.9749279121818236,-0.22252093395631434,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-31,HOUSEHOLD_2_CA_2,158.0,6.0194420600858365,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0,0.5074150932938455,0.8617017599480682,0.43388373911755823,-0.900968867902419,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,HOUSEHOLD_2_CA_2,164.0,6.0194420600858365,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.5221325810768248,0.8528643314021597,-0.433883739117558,-0.9009688679024191,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-02,HOUSEHOLD_2_CA_2,151.0,6.0194420600858365,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.5366961939916004,0.8437755598231856,-0.9749279121818236,-0.2225209339563146,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-03,HOUSEHOLD_2_CA_2,163.0,6.0194420600858365,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.5511016400746,0.8344381237138473,-0.7818314824680299,0.6234898018587334,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-04,HOUSEHOLD_2_CA_2,220.0,6.0194420600858365,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.5653446739747429,0.8248547748594244,-2.4492935982947064e-16,1.0,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,HOUSEHOLD_2_CA_2,345.0,6.095823754789272,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.5794210982045637,0.8150283375168114,0.7818314824680298,0.6234898018587336,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-06,HOUSEHOLD_2_CA_2,215.0,6.095823754789272,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0.593326764377232,0.8049617075821959,0.9749279121818236,-0.22252093395631434,-1.448585721481034,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2011-02-07,HOUSEHOLD_2_CA_2,174.0,6.095823754789272,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.0,1.0,0.6070575744291004,0.794657851737625,0.43388373911755823,-0.900968867902419,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-08,HOUSEHOLD_2_CA_2,162.0,6.095823754789272,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.6206094818274227,0.7841198065767105,-0.433883739117558,-0.9009688679024191,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-09,HOUSEHOLD_2_CA_2,177.0,6.095823754789272,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.6339784927628866,0.7733506777097299,-0.9749279121818236,-0.2225209339563146,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-10,HOUSEHOLD_2_CA_2,181.0,6.095823754789272,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.647160667326606,0.7623536388483902,-0.7818314824680299,0.6234898018587334,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,HOUSEHOLD_2_CA_2,227.0,6.095823754789272,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.6601521206712317,0.7511319308705199,-2.4492935982947064e-16,1.0,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,HOUSEHOLD_2_CA_2,332.0,6.065164835164835,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.6729490241558329,0.7396888608649669,0.7818314824680298,0.6234898018587336,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-13,HOUSEHOLD_2_CA_2,377.0,6.065164835164835,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0.6855476064742155,0.7280278011569848,0.9749279121818236,-0.22252093395631434,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-14,HOUSEHOLD_2_CA_2,182.0,6.065164835164835,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.0,1.0,0.6979441547663435,0.7161521883143933,0.43388373911755823,-0.900968867902419,-1.448585721481034,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011-02-15,HOUSEHOLD_2_CA_2,180.0,6.065164835164835,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.7101350157125358,0.7040655221348057,-0.433883739117558,-0.9009688679024191,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-16,HOUSEHOLD_2_CA_2,168.0,6.065164835164835,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.7221165966101162,0.691771364614222,-0.9749279121818236,-0.2225209339563146,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,HOUSEHOLD_2_CA_2,132.0,6.065164835164835,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.7338853664321991,0.6792733388972931,-0.7818314824680299,0.6234898018587334,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,HOUSEHOLD_2_CA_2,176.0,6.065164835164835,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.7454378568683002,0.6665751282095632,-2.4492935982947064e-16,1.0,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,HOUSEHOLD_2_CA_2,320.0,6.0565342960288815,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.7567706633464625,0.653680474772006,0.7818314824680298,0.6234898018587336,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-20,HOUSEHOLD_2_CA_2,318.0,6.0565342960288815,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0.7678804460366,0.6405931786981752,0.9749279121818236,-0.22252093395631434,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-21,HOUSEHOLD_2_CA_2,274.0,6.0565342960288815,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.0,1.0,0.7787639308347606,0.6273170968742939,0.43388373911755823,-0.900968867902419,-1.448585721481034,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2011-02-22,HOUSEHOLD_2_CA_2,186.0,6.0565342960288815,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.7894179103280197,0.613856141822612,-0.433883739117558,-0.9009688679024191,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-23,HOUSEHOLD_2_CA_2,169.0,6.0565342960288815,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.7998392447397193,0.6002142805483682,-0.9749279121818236,-0.2225209339563146,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-24,HOUSEHOLD_2_CA_2,167.0,6.0565342960288815,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.8100248628547752,0.5863955333706957,-0.7818314824680299,0.6234898018587334,-1.448585721481034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
