date,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-01-29,1,1,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-01-30,2,1,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-01-31,3,1,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-01,4,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-02-02,5,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-02-03,6,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-02-04,7,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-02-05,1,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-02-06,2,2,2011,SuperBowl,Sporting,0_NoEvent,0_NoEvent,1,1,1
2011-02-07,3,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-02-08,4,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-02-09,5,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-02-10,6,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-02-11,7,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-02-12,1,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-02-13,2,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-02-14,3,2,2011,ValentinesDay,Cultural,0_NoEvent,0_NoEvent,0,0,1
2011-02-15,4,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-02-16,5,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-17,6,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-18,7,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-19,1,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-20,2,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-21,3,2,2011,PresidentsDay,National,0_NoEvent,0_NoEvent,0,0,0
2011-02-22,4,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-23,5,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-24,6,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-25,7,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
