time,y_actual,y_pred
2016-02-15,349.0,304.63367
2016-02-16,229.0,223.11241
2016-02-17,207.0,253.99506
2016-02-18,273.0,227.61803
2016-02-19,279.0,244.37003
2016-02-20,418.0,336.65002
2016-02-21,422.0,360.00208
2016-02-22,229.0,260.38806
2016-02-23,199.0,243.54974
2016-02-24,237.0,234.64026
2016-02-25,193.0,240.16243
2016-02-26,285.0,244.27342
2016-02-27,494.0,448.04596
2016-02-28,452.0,408.72696
2016-02-29,233.0,222.72371
2016-03-01,233.0,231.88144
2016-03-02,197.0,239.92403
2016-03-03,240.0,230.87611
2016-03-04,206.0,264.9282
2016-03-05,352.0,413.5883
2016-03-06,412.0,388.59552
2016-03-07,205.0,259.6596
2016-03-08,172.0,237.75598
2016-03-09,254.0,235.3824
2016-03-10,238.0,235.38075
2016-03-11,244.0,255.40732
2016-03-12,396.0,403.09332
2016-03-13,423.0,392.18518
2016-03-14,243.0,258.78952
2016-03-15,199.0,246.90207
2016-03-16,203.0,235.30574
2016-03-17,193.0,245.8699
2016-03-18,251.0,252.67776
2016-03-19,182.0,361.2276
2016-03-20,187.0,394.19806
2016-03-21,270.0,259.1977
2016-03-22,240.0,262.36847
2016-03-23,237.0,262.81836
2016-03-24,216.0,233.19923
2016-03-25,317.0,262.0689
2016-03-26,425.0,402.38818
2016-03-27,417.0,383.27075
2016-03-28,235.0,242.41353
2016-03-29,238.0,249.87433
2016-03-30,243.0,243.58635
2016-03-31,245.0,279.56815
2016-04-01,300.0,290.6275
2016-04-02,411.0,425.2777
2016-04-03,467.0,387.03058
2016-04-04,250.0,257.14575
2016-04-05,219.0,248.5258
2016-04-06,232.0,259.66656
2016-04-07,287.0,242.35045
2016-04-08,331.0,240.79602
2016-04-09,476.0,349.0055
2016-04-10,441.0,380.5304
2016-04-11,293.0,261.34634
2016-04-12,251.0,270.90857
2016-04-13,275.0,271.88794
2016-04-14,254.0,245.63336
2016-04-15,303.0,264.26968
2016-04-16,431.0,373.46155
2016-04-17,452.0,380.01422
2016-04-18,259.0,282.50085
2016-04-19,257.0,260.54202
2016-04-20,255.0,264.77277
2016-04-21,250.0,252.48615
2016-04-22,323.0,263.11127
2016-04-23,486.0,350.4171
2016-04-24,432.0,375.4301
2016-04-25,244.0,282.4322
2016-04-26,249.0,261.42926
2016-04-27,247.0,259.9972
2016-04-28,283.0,251.38785
2016-04-29,309.0,261.02667
2016-04-30,438.0,334.99365
2016-05-01,457.0,364.04858
2016-05-02,325.0,286.59894
2016-05-03,303.0,253.61319
2016-05-04,252.0,246.59126
2016-05-05,245.0,230.7786
2016-05-06,327.0,255.84781
2016-05-07,441.0,338.03778
2016-05-08,360.0,331.195
2016-05-09,245.0,237.29797
2016-05-10,287.0,261.9593
2016-05-11,242.0,275.71262
2016-05-12,272.0,240.3635
2016-05-13,395.0,308.11993
2016-05-14,575.0,403.40497
2016-05-15,467.0,408.89047
2016-05-16,310.0,221.7838
2016-05-17,261.0,224.96393
2016-05-18,226.0,250.33548
2016-05-19,280.0,249.73468
2016-05-20,296.0,279.2211
2016-05-21,573.0,380.60413
2016-05-22,496.0,378.78128
