time,y_actual,y_pred
2016-02-15,349.0,245.69957
2016-02-16,229.0,229.05588
2016-02-17,207.0,214.2321
2016-02-18,273.0,219.53644
2016-02-19,279.0,269.69916
2016-02-20,418.0,393.74957
2016-02-21,422.0,385.24588
2016-02-22,229.0,249.40779
2016-02-23,199.0,197.89081
2016-02-24,237.0,232.02594
2016-02-25,193.0,255.17957
2016-02-26,285.0,287.4823
2016-02-27,494.0,427.5455
2016-02-28,452.0,397.86804
2016-02-29,233.0,287.82095
2016-03-01,233.0,253.5063
2016-03-02,197.0,248.75243
2016-03-03,240.0,243.16771
2016-03-04,206.0,297.5028
2016-03-05,352.0,443.6223
2016-03-06,412.0,431.18237
2016-03-07,205.0,273.72876
2016-03-08,172.0,274.46414
2016-03-09,254.0,271.76855
2016-03-10,238.0,278.42972
2016-03-11,244.0,337.10748
2016-03-12,396.0,464.90472
2016-03-13,423.0,430.4023
2016-03-14,243.0,267.07153
2016-03-15,199.0,261.46747
2016-03-16,203.0,228.28645
2016-03-17,193.0,236.40994
2016-03-18,251.0,307.53027
2016-03-19,182.0,419.76312
2016-03-20,187.0,410.88156
2016-03-21,270.0,261.53714
2016-03-22,240.0,219.58247
2016-03-23,237.0,242.38594
2016-03-24,216.0,276.37103
2016-03-25,317.0,319.96393
2016-03-26,425.0,435.8539
2016-03-27,417.0,399.80566
2016-03-28,235.0,289.03568
2016-03-29,238.0,267.3084
2016-03-30,243.0,245.02019
2016-03-31,245.0,255.38196
2016-04-01,300.0,321.03412
2016-04-02,411.0,434.13596
2016-04-03,467.0,430.48407
2016-04-04,250.0,269.66415
2016-04-05,219.0,272.3745
2016-04-06,232.0,267.49347
2016-04-07,287.0,269.45435
2016-04-08,331.0,326.56363
2016-04-09,476.0,437.27362
2016-04-10,441.0,408.2755
2016-04-11,293.0,261.9797
2016-04-12,251.0,263.273
2016-04-13,275.0,225.10385
2016-04-14,254.0,235.34279
2016-04-15,303.0,291.9773
2016-04-16,431.0,404.16132
2016-04-17,452.0,392.1106
2016-04-18,259.0,257.43353
2016-04-19,257.0,223.57741
2016-04-20,255.0,240.77701
2016-04-21,250.0,266.665
2016-04-22,323.0,308.68323
2016-04-23,486.0,430.6161
2016-04-24,432.0,387.81955
2016-04-25,244.0,261.47266
2016-04-26,249.0,265.3829
2016-04-27,247.0,225.46512
2016-04-28,283.0,243.49768
2016-04-29,309.0,297.4355
2016-04-30,438.0,401.03387
2016-05-01,457.0,389.58493
2016-05-02,325.0,256.16077
2016-05-03,303.0,219.4559
2016-05-04,252.0,241.47057
2016-05-05,245.0,264.55814
2016-05-06,327.0,319.15866
2016-05-07,441.0,430.18353
2016-05-08,360.0,374.3532
2016-05-09,245.0,282.8089
2016-05-10,287.0,268.93127
2016-05-11,242.0,253.79369
2016-05-12,272.0,252.23602
2016-05-13,395.0,318.1021
2016-05-14,575.0,432.30118
2016-05-15,467.0,412.38785
2016-05-16,310.0,270.43423
2016-05-17,261.0,283.78992
2016-05-18,226.0,273.21817
2016-05-19,280.0,273.5711
2016-05-20,296.0,336.2371
2016-05-21,573.0,434.34717
2016-05-22,496.0,401.6079
