time,y_actual,y_pred
2016-02-15,349.0,265.41074
2016-02-16,229.0,237.83038
2016-02-17,207.0,236.15417
2016-02-18,273.0,238.2352
2016-02-19,279.0,275.5483
2016-02-20,418.0,398.22845
2016-02-21,422.0,400.90002
2016-02-22,229.0,262.56064
2016-02-23,199.0,239.0199
2016-02-24,237.0,235.28146
2016-02-25,193.0,254.70038
2016-02-26,285.0,295.53003
2016-02-27,494.0,429.9485
2016-02-28,452.0,397.9898
2016-02-29,233.0,253.62625
2016-03-01,233.0,267.9667
2016-03-02,197.0,260.3957
2016-03-03,240.0,258.76608
2016-03-04,206.0,300.4273
2016-03-05,352.0,433.01996
2016-03-06,412.0,402.98145
2016-03-07,205.0,288.94928
2016-03-08,172.0,270.59644
2016-03-09,254.0,278.8553
2016-03-10,238.0,255.04608
2016-03-11,244.0,318.0298
2016-03-12,396.0,423.8222
2016-03-13,423.0,425.97162
2016-03-14,243.0,296.35297
2016-03-15,199.0,284.5641
2016-03-16,203.0,260.53436
2016-03-17,193.0,255.22195
2016-03-18,251.0,319.77835
2016-03-19,182.0,424.69366
2016-03-20,187.0,418.87262
2016-03-21,270.0,280.8381
2016-03-22,240.0,261.46347
2016-03-23,237.0,257.36072
2016-03-24,216.0,274.48557
2016-03-25,317.0,317.06052
2016-03-26,425.0,408.83398
2016-03-27,417.0,416.32913
2016-03-28,235.0,283.90054
2016-03-29,238.0,265.04352
2016-03-30,243.0,266.83743
2016-03-31,245.0,272.94696
2016-04-01,300.0,324.08963
2016-04-02,411.0,429.66718
2016-04-03,467.0,412.14874
2016-04-04,250.0,290.8246
2016-04-05,219.0,274.13425
2016-04-06,232.0,277.38257
2016-04-07,287.0,287.66956
2016-04-08,331.0,328.16248
2016-04-09,476.0,421.4115
2016-04-10,441.0,421.09125
2016-04-11,293.0,290.5234
2016-04-12,251.0,273.02066
2016-04-13,275.0,265.48322
2016-04-14,254.0,284.9944
2016-04-15,303.0,323.34656
2016-04-16,431.0,431.5349
2016-04-17,452.0,411.20215
2016-04-18,259.0,279.96072
2016-04-19,257.0,265.40704
2016-04-20,255.0,267.41708
2016-04-21,250.0,278.62152
2016-04-22,323.0,312.538
2016-04-23,486.0,412.64087
2016-04-24,432.0,426.34207
2016-04-25,244.0,280.62488
2016-04-26,249.0,270.45828
2016-04-27,247.0,275.87088
2016-04-28,283.0,269.37097
2016-04-29,309.0,323.21994
2016-04-30,438.0,418.16095
2016-05-01,457.0,418.16406
2016-05-02,325.0,287.0197
2016-05-03,303.0,269.70438
2016-05-04,252.0,273.20038
2016-05-05,245.0,270.49374
2016-05-06,327.0,318.3326
2016-05-07,441.0,419.8416
2016-05-08,360.0,412.28384
2016-05-09,245.0,293.76892
2016-05-10,287.0,285.51068
2016-05-11,242.0,280.98547
2016-05-12,272.0,275.24164
2016-05-13,395.0,330.40314
2016-05-14,575.0,420.91638
2016-05-15,467.0,415.42404
2016-05-16,310.0,299.08972
2016-05-17,261.0,276.29147
2016-05-18,226.0,273.80338
2016-05-19,280.0,281.1606
2016-05-20,296.0,335.9492
2016-05-21,573.0,417.65594
2016-05-22,496.0,419.46844
