time,y_actual,y_pred
2016-02-15,349.0,314.42737
2016-02-16,229.0,227.65155
2016-02-17,207.0,225.35123
2016-02-18,273.0,225.69376
2016-02-19,279.0,254.2605
2016-02-20,418.0,405.62802
2016-02-21,422.0,413.9871
2016-02-22,229.0,216.21394
2016-02-23,199.0,192.29266
2016-02-24,237.0,195.32306
2016-02-25,193.0,229.67188
2016-02-26,285.0,275.1734
2016-02-27,494.0,419.10553
2016-02-28,452.0,410.93842
2016-02-29,233.0,237.78143
2016-03-01,233.0,200.83643
2016-03-02,197.0,239.12167
2016-03-03,240.0,225.30598
2016-03-04,206.0,285.26147
2016-03-05,352.0,447.1302
2016-03-06,412.0,427.66452
2016-03-07,205.0,238.59193
2016-03-08,172.0,250.20647
2016-03-09,254.0,205.8554
2016-03-10,238.0,243.1511
2016-03-11,244.0,302.85452
2016-03-12,396.0,428.82434
2016-03-13,423.0,417.7014
2016-03-14,243.0,250.54655
2016-03-15,199.0,244.2254
2016-03-16,203.0,220.09781
2016-03-17,193.0,218.67636
2016-03-18,251.0,261.04446
2016-03-19,182.0,414.86133
2016-03-20,187.0,425.58145
2016-03-21,270.0,228.094
2016-03-22,240.0,236.00409
2016-03-23,237.0,222.43723
2016-03-24,216.0,250.60194
2016-03-25,317.0,260.84885
2016-03-26,425.0,432.54718
2016-03-27,417.0,423.70132
2016-03-28,235.0,262.90097
2016-03-29,238.0,251.85573
2016-03-30,243.0,243.66716
2016-03-31,245.0,253.51892
2016-04-01,300.0,305.34528
2016-04-02,411.0,456.96936
2016-04-03,467.0,447.2137
2016-04-04,250.0,242.66962
2016-04-05,219.0,239.75113
2016-04-06,232.0,222.43948
2016-04-07,287.0,240.77562
2016-04-08,331.0,270.2436
2016-04-09,476.0,440.53036
2016-04-10,441.0,419.25516
2016-04-11,293.0,258.3429
2016-04-12,251.0,247.17415
2016-04-13,275.0,250.68878
2016-04-14,254.0,249.36371
2016-04-15,303.0,277.3657
2016-04-16,431.0,390.3825
2016-04-17,452.0,413.46317
2016-04-18,259.0,280.9837
2016-04-19,257.0,250.23058
2016-04-20,255.0,256.5997
2016-04-21,250.0,243.43048
2016-04-22,323.0,272.8213
2016-04-23,486.0,359.2691
2016-04-24,432.0,420.2513
2016-04-25,244.0,252.78348
2016-04-26,249.0,238.97325
2016-04-27,247.0,244.43353
2016-04-28,283.0,252.93297
2016-04-29,309.0,301.96414
2016-04-30,438.0,421.99295
2016-05-01,457.0,405.48965
2016-05-02,325.0,205.93207
2016-05-03,303.0,259.45453
2016-05-04,252.0,209.69917
2016-05-05,245.0,237.41354
2016-05-06,327.0,270.75293
2016-05-07,441.0,417.3638
2016-05-08,360.0,413.17047
2016-05-09,245.0,248.14986
2016-05-10,287.0,234.90976
2016-05-11,242.0,227.53645
2016-05-12,272.0,262.54846
2016-05-13,395.0,281.58667
2016-05-14,575.0,434.56705
2016-05-15,467.0,424.63208
2016-05-16,310.0,229.82825
2016-05-17,261.0,257.9728
2016-05-18,226.0,225.08188
2016-05-19,280.0,255.06854
2016-05-20,296.0,307.2378
2016-05-21,573.0,415.75522
2016-05-22,496.0,374.20743
