time,y_actual,y_pred
2016-02-15,349.0,345.2779
2016-02-16,229.0,227.5807
2016-02-17,207.0,241.69125
2016-02-18,273.0,232.3006
2016-02-19,279.0,299.5175
2016-02-20,418.0,430.2171
2016-02-21,422.0,404.81363
2016-02-22,229.0,243.19257
2016-02-23,199.0,223.95013
2016-02-24,237.0,238.06653
2016-02-25,193.0,231.04404
2016-02-26,285.0,296.5246
2016-02-27,494.0,436.2133
2016-02-28,452.0,416.957
2016-02-29,233.0,240.32825
2016-03-01,233.0,245.77463
2016-03-02,197.0,247.40666
2016-03-03,240.0,245.52063
2016-03-04,206.0,312.33682
2016-03-05,352.0,458.81866
2016-03-06,412.0,418.04004
2016-03-07,205.0,269.91025
2016-03-08,172.0,252.86034
2016-03-09,254.0,272.34305
2016-03-10,238.0,270.66272
2016-03-11,244.0,324.70502
2016-03-12,396.0,440.18402
2016-03-13,423.0,418.23746
2016-03-14,243.0,280.71118
2016-03-15,199.0,269.41217
2016-03-16,203.0,270.37515
2016-03-17,193.0,279.5815
2016-03-18,251.0,359.24353
2016-03-19,182.0,459.4857
2016-03-20,187.0,424.969
2016-03-21,270.0,276.00388
2016-03-22,240.0,269.23602
2016-03-23,237.0,280.68738
2016-03-24,216.0,338.9774
2016-03-25,317.0,353.01163
2016-03-26,425.0,457.88
2016-03-27,417.0,417.9506
2016-03-28,235.0,256.83145
2016-03-29,238.0,268.15216
2016-03-30,243.0,278.97427
2016-03-31,245.0,303.35788
2016-04-01,300.0,332.18375
2016-04-02,411.0,435.99713
2016-04-03,467.0,423.06042
2016-04-04,250.0,266.1044
2016-04-05,219.0,261.58197
2016-04-06,232.0,268.79404
2016-04-07,287.0,295.49332
2016-04-08,331.0,336.60123
2016-04-09,476.0,426.60214
2016-04-10,441.0,419.9632
2016-04-11,293.0,270.77246
2016-04-12,251.0,283.9733
2016-04-13,275.0,258.95285
2016-04-14,254.0,290.1299
2016-04-15,303.0,351.62854
2016-04-16,431.0,437.9279
2016-04-17,452.0,417.17307
2016-04-18,259.0,267.2022
2016-04-19,257.0,275.45157
2016-04-20,255.0,269.47025
2016-04-21,250.0,302.7207
2016-04-22,323.0,357.0145
2016-04-23,486.0,443.06955
2016-04-24,432.0,404.76242
2016-04-25,244.0,274.84015
2016-04-26,249.0,283.17227
2016-04-27,247.0,283.01193
2016-04-28,283.0,313.12872
2016-04-29,309.0,381.43726
2016-04-30,438.0,459.91537
2016-05-01,457.0,395.07693
2016-05-02,325.0,260.47253
2016-05-03,303.0,263.47345
2016-05-04,252.0,261.02045
2016-05-05,245.0,298.27692
2016-05-06,327.0,344.45688
2016-05-07,441.0,432.59982
2016-05-08,360.0,423.8337
2016-05-09,245.0,241.75873
2016-05-10,287.0,267.53143
2016-05-11,242.0,261.83923
2016-05-12,272.0,284.9604
2016-05-13,395.0,350.7974
2016-05-14,575.0,457.05746
2016-05-15,467.0,407.55066
2016-05-16,310.0,264.47604
2016-05-17,261.0,279.50058
2016-05-18,226.0,285.01578
2016-05-19,280.0,300.23193
2016-05-20,296.0,349.57697
2016-05-21,573.0,417.73352
2016-05-22,496.0,399.46503
